formula,number
Cs2AuPdCl6,1
Cs2AuPdBr6,1
Cs2AuAgF6,1
Cs2AuAgBr6,1
Cs2AuAgI6,1
Cs2AuInBr6,1
Cs2AuInI6,1
Cs2AuSbBr6,1
Cs2AuTaF6,1
Cs2AuTaCl6,1
Cs2AuTaBr6,1
Cs2AuTaI6,1
Cs2AuIrF6,1
Cs2AuIrCl6,1
Cs2AuIrBr6,1
Cs2AuIrI6,1
Cs2AuTlCl6,1
Cs2AuTlBr6,1
Cs2AuBiCl6,1
Cs2AuBiBr6,1
Cs2AuLaBr6,1
Cs2AuCeBr6,1
Cs2AuPrBr6,1
Cs2AuNdBr6,1
Cs2AuPmBr6,1
Cs2AuSmBr6,1
Cs2AuEuBr6,1
Cs2AuGdBr6,1
Cs2AuTbBr6,1
Cs2AuDyBr6,1
Cs2AuHoBr6,1
Cs2AuErCl6,1
Cs2AuErBr6,1
Cs2AuTmCl6,1
Cs2AuTmBr6,1
Cs2AuYbF6,1
Cs2AuYbCl6,1
Cs2AuYbBr6,1
Cs2AuLuCl6,1
Cs2AuLuBr6,1
Cs2AuUBr6,1
Cs2HgBF6,1
Cs2HgBCl6,1
Cs2HgBBr6,1
Cs2HgNF6,1
Cs2HgNCl6,1
Cs2HgAlF6,1
Cs2HgAlCl6,1
Cs2HgAlBr6,1
Cs2HgPF6,1
Cs2HgPCl6,1
Cs2HgPBr6,1
Cs2HgScF6,1
Cs2HgScCl6,1
Cs2HgScBr6,1
Cs2HgTiF6,1
Cs2HgTiCl6,1
Cs2HgTiBr6,1
Cs2HgTiI6,1
Cs2HgVF6,1
Cs2HgVCl6,1
Cs2HgVBr6,1
Cs2HgVI6,1
Cs2HgCrF6,1
Cs2HgCrCl6,1
Cs2HgCrBr6,1
Cs2HgCrI6,1
Cs2HgMnF6,1
Cs2HgMnCl6,1
Cs2HgMnBr6,1
Cs2HgMnI6,1
Cs2HgFeF6,1
Cs2HgFeCl6,1
Cs2HgFeBr6,1
Cs2HgFeI6,1
Cs2HgCoF6,1
Cs2HgCoCl6,1
Cs2HgCoBr6,1
Cs2HgCoI6,1
Cs2HgNiF6,1
Cs2HgNiCl6,1
Cs2HgNiBr6,1
Cs2HgNiI6,1
Cs2HgCuF6,1
Cs2HgCuCl6,1
Cs2HgCuBr6,1
Cs2HgCuI6,1
Cs2HgGaF6,1
Cs2HgGaCl6,1
Cs2HgGaBr6,1
Cs2HgGaI6,1
Cs2HgAsBr6,1
Cs2HgYF6,1
Cs2HgYCl6,1
Cs2HgYBr6,1
Cs2HgNbF6,1
Cs2HgNbCl6,1
Cs2HgNbBr6,1
Cs2HgNbI6,1
Cs2HgMoF6,1
Cs2HgMoCl6,1
Cs2HgMoBr6,1
Cs2HgMoI6,1
Cs2HgRuF6,1
Cs2HgRuCl6,1
Cs2HgRuBr6,1
Cs2HgRuI6,1
Cs2HgRhF6,1
Cs2HgRhCl6,1
Cs2HgRhBr6,1
Cs2HgRhI6,1
Cs2HgPdF6,1
Cs2HgPdCl6,1
Cs2HgPdBr6,1
Cs2HgAgF6,1
Cs2HgAgCl6,1
Cs2HgAgBr6,1
Cs2HgAgI6,1
Cs2HgInF6,1
Cs2HgInCl6,1
Cs2HgInBr6,1
Cs2HgInI6,1
Cs2HgSbBr6,1
Cs2HgTaF6,1
Cs2HgTaCl6,1
Cs2HgTaBr6,1
Cs2HgTaI6,1
Cs2HgIrF6,1
Cs2HgIrCl6,1
Cs2HgIrBr6,1
Cs2HgIrI6,1
Cs2HgAuF6,1
Cs2HgAuCl6,1
Cs2HgAuBr6,1
Cs2HgTlF6,1
Cs2HgTlCl6,1
Cs2HgTlBr6,1
Cs2HgBiF6,1
