formula,A,B,C,X,Ra,Rb,Rc,RB,Rx,Tf,number
Li2NaTaBr6,Li,Na,Ta,Br,1.159,1.028,0.726,0.877,1.955,5.969229903046969,1
Li2NaTaI6,Li,Na,Ta,I,1.159,1.028,0.726,0.877,2.194,6.241749857436934,1
Li2NaIrF6,Li,Na,Ir,F,1.159,1.028,0.687,0.8575,1.331,5.038216767300215,1
Li2NaIrCl6,Li,Na,Ir,Cl,1.159,1.028,0.687,0.8575,1.806,5.592152627358523,1
Li2NaIrBr6,Li,Na,Ir,Br,1.159,1.028,0.687,0.8575,1.955,5.7659135603031295,1
Li2NaIrI6,Li,Na,Ir,I,1.159,1.028,0.687,0.8575,2.194,6.04463076146931,1
Li2NaAuF6,Li,Na,Au,F,1.159,1.028,0.842,0.935,1.331,6.195254824059289,1
Li2NaAuCl6,Li,Na,Au,Cl,1.159,1.028,0.842,0.935,1.806,6.70327621443362,1
Li2NaAuBr6,Li,Na,Au,Br,1.159,1.028,0.842,0.935,1.955,6.862634503203673,1
Li2NaAuI6,Li,Na,Au,I,1.159,1.028,0.842,0.935,2.194,7.118249476465705,1
Li2NaTlF6,Li,Na,Tl,F,1.159,1.028,0.884,0.956,1.331,6.688349025740062,1
Li2NaTlCl6,Li,Na,Tl,Cl,1.159,1.028,0.884,0.956,1.806,7.185210950426255,1
Li2NaTlBr6,Li,Na,Tl,Br,1.159,1.028,0.884,0.956,1.955,7.341068691012028,1
Li2NaTlI6,Li,Na,Tl,I,1.159,1.028,0.884,0.956,2.194,7.591068691012028,1
Li2NaBiF6,Li,Na,Bi,F,1.159,1.028,1.03,1.029,1.331,9.76087750180941,1
Li2NaBiCl6,Li,Na,Bi,Cl,1.159,1.028,1.03,1.029,1.806,10.222490718524668,1
Li2NaBiBr6,Li,Na,Bi,Br,1.159,1.028,1.03,1.029,1.955,10.367291495978506,1
Li2NaBiI6,Li,Na,Bi,I,1.159,1.028,1.03,1.029,2.194,10.599555830283656,1
Li2NaLaF6,Li,Na,La,F,1.159,1.028,1.032,1.03,1.331,9.828288289167945,1
Li2NaLaCl6,Li,Na,La,Cl,1.159,1.028,1.032,1.03,1.806,10.289453337711635,1
Li2NaLaBr6,Li,Na,La,Br,1.159,1.028,1.032,1.03,1.955,10.434113531886391,1
Li2NaLaI6,Li,Na,La,I,1.159,1.028,1.032,1.03,2.194,10.666152366837848,1
Li2NaCeF6,Li,Na,Ce,F,1.159,1.028,1.01,1.0190000000000001,1.331,9.141250230701438,1
Li2NaCeCl6,Li,Na,Ce,Cl,1.159,1.028,1.01,1.0190000000000001,1.806,9.607393508424696,1
Li2NaCeBr6,Li,Na,Ce,Br,1.159,1.028,1.01,1.0190000000000001,1.955,9.753615294489466,1
Li2NaCeI6,Li,Na,Ce,I,1.159,1.028,1.01,1.0190000000000001,2.194,9.988158964754431,1
Li2NaPrF6,Li,Na,Pr,F,1.159,1.028,0.993,1.0105,1.331,8.682260943647869,1
Li2NaPrCl6,Li,Na,Pr,Cl,1.159,1.028,0.993,1.0105,1.806,9.152325268239654,1
Li2NaPrBr6,Li,Na,Pr,Br,1.159,1.028,0.993,1.0105,1.955,9.299777024795816,1
Li2NaPrI6,Li,Na,Pr,I,1.159,1.028,0.993,1.0105,2.194,9.536293600748314,1
Li2NaNdF6,Li,Na,Nd,F,1.159,1.028,0.98,1.004,1.331,8.366501747459118,1
Li2NaNdCl6,Li,Na,Nd,Cl,1.159,1.028,0.98,1.004,1.806,8.839609317180235,1
Li2NaNdBr6,Li,Na,Nd,Br,1.159,1.028,0.98,1.004,1.955,8.988015691682227,1
Li2NaNdI6,Li,Na,Nd,I,1.159,1.028,0.98,1.004,2.194,9.226063500447166,1
Li2NaPmF6,Li,Na,Pm,F,1.159,1.028,0.969,0.9984999999999999,1.331,8.12014097955737,1
Li2NaPmCl6,Li,Na,Pm,Cl,1.159,1.028,0.969,0.9984999999999999,1.806,8.595854549912902,1
Li2NaPmBr6,Li,Na,Pm,Br,1.159,1.028,0.969,0.9984999999999999,1.955,8.745078385666533,1
Li2NaPmI6,Li,Na,Pm,I,1.159,1.028,0.969,0.9984999999999999,2.194,8.98443742422437,1
Li2NaSmF6,Li,Na,Sm,F,1.159,1.028,0.958,0.993,1.331,7.890866160518976,1
Li2NaSmCl6,Li,Na,Sm,Cl,1.159,1.028,0.958,0.993,1.806,8.36921459959249,1
