formula,A,B,C,X,Ra,Rb,Rc,RB,Rx,Tf,number
Na2VCeF6,Na,V,Ce,F,1.392,0.793,1.287,1.04,1.331,4.871114091694203,2
Na2VCeCl6,Na,V,Ce,Cl,1.392,0.793,1.287,1.04,1.806,5.327844860924973,2
Na2VCeBr6,Na,V,Ce,Br,1.392,0.793,1.287,1.04,1.955,5.471114091694203,2
Na2VCeI6,Na,V,Ce,I,1.392,0.793,1.287,1.04,2.194,5.7009217840018955,2
Na2VPrF6,Na,V,Pr,F,1.392,0.793,1.26,1.0265,1.331,4.748785930091909,2
Na2VPrCl6,Na,V,Pr,Cl,1.392,0.793,1.26,1.0265,1.806,5.211523387471354,2
Na2VPrBr6,Na,V,Pr,Br,1.392,0.793,1.26,1.0265,1.955,5.35667682147038,2
Na2VPrI6,Na,V,Pr,I,1.392,0.793,1.26,1.0265,2.194,5.589506826341301,2
Na2VSmF6,Na,V,Sm,F,1.392,0.793,1.19,0.9915,1.331,4.480414949299902,2
Na2VSmCl6,Na,V,Sm,Cl,1.392,0.793,1.19,0.9915,1.806,4.959487062260064,2
Na2VSmBr6,Na,V,Sm,Br,1.392,0.793,1.19,0.9915,1.955,5.109764419799146,2
Na2VSmI6,Na,V,Sm,I,1.392,0.793,1.19,0.9915,2.194,5.350813335583311,2
Na2VEuF6,Na,V,Eu,F,1.392,0.793,1.16,0.9764999999999999,1.331,4.383935064359011,2
Na2VEuCl6,Na,V,Eu,Cl,1.392,0.793,1.16,0.9764999999999999,1.806,4.870366195951433,2
Na2VEuBr6,Na,V,Eu,Br,1.392,0.793,1.16,0.9764999999999999,1.955,5.022951961440424,2
Na2VEuI6,Na,V,Eu,I,1.392,0.793,1.16,0.9764999999999999,2.194,5.267703625546927,2
Na2VDyF6,Na,V,Dy,F,1.392,0.793,1.07,0.9315,1.331,4.148971526464903,2
Na2VDyCl6,Na,V,Dy,Cl,1.392,0.793,1.07,0.9315,1.806,4.658901746540051,2
Na2VDyBr6,Na,V,Dy,Br,1.392,0.793,1.07,0.9315,1.955,4.818858805047833,2
Na2VDyI6,Na,V,Dy,I,1.392,0.793,1.07,0.9315,2.194,5.0754342210435395,2
Na2VTmF6,Na,V,Tm,F,1.392,0.793,1.03,0.9115,1.331,4.06706581737525,2
Na2VTmCl6,Na,V,Tm,Cl,1.392,0.793,1.03,0.9115,1.806,4.58818485193367,2
Na2VTmBr6,Na,V,Tm,Br,1.392,0.793,1.03,0.9115,1.955,4.751651664879365,2
Na2VTmI6,Na,V,Tm,I,1.392,0.793,1.03,0.9115,2.194,5.013856821215075,2
Na2VYbF6,Na,V,Yb,F,1.392,0.793,1.02,0.9065000000000001,1.331,4.048502818526339,2
Na2VYbCl6,Na,V,Yb,Cl,1.392,0.793,1.02,0.9065000000000001,1.806,4.572496199662577,2
Na2VYbBr6,Na,V,Yb,Br,1.392,0.793,1.02,0.9065000000000001,1.955,4.736864649745313,2
Na2VYbI6,Na,V,Yb,I,1.392,0.793,1.02,0.9065000000000001,2.194,5.000516056253863,2
Na2CrMnF6,Na,Cr,Mn,F,1.392,0.801,0.828,0.8145,1.331,3.823070476695109,2
Na2CrMnCl6,Na,Cr,Mn,Cl,1.392,0.801,0.828,0.8145,1.806,4.40625034164293,2
Na2CrMnBr6,Na,Cr,Mn,Br,1.392,0.801,0.828,0.8145,1.955,4.589184657173931,2
Na2CrMnI6,Na,Cr,Mn,I,1.392,0.801,0.828,0.8145,2.194,4.882616210273992,2
Na2CrFeF6,Na,Cr,Fe,F,1.392,0.801,0.784,0.7925,1.331,3.7976443172242025,2
Na2CrFeCl6,Na,Cr,Fe,Cl,1.392,0.801,0.784,0.7925,1.806,4.397013402397704,2
Na2CrFeBr6,Na,Cr,Fe,Br,1.392,0.801,0.784,0.7925,1.955,4.585026020694234,2
Na2CrFeI6,Na,Cr,Fe,I,1.392,0.801,0.784,0.7925,2.194,4.886603307760479,2
Na2CrCoF6,Na,Cr,Co,F,1.392,0.801,0.742,0.7715000000000001,1.331,3.7824779201716483,2
Na2CrCoCl6,Na,Cr,Co,Cl,1.392,0.801,0.742,0.7715000000000001,1.806,4.398161653159335,2
Na2CrCoBr6,Na,Cr,Co,Br,1.392,0.801,0.742,0.7715000000000001,1.955,4.591291918875472,2
Na2CrCoI6,Na,Cr,Co,I,1.392,0.801,0.742,0.7715000000000001,2.194,4.901078049789277,2
Na2CrNiF6,Na,Cr,Ni,F,1.392,0.801,0.695,0.748,1.331,3.7756779942515406,2
Na2CrNiCl6,Na,Cr,Ni,Cl,1.392,0.801,0.695,0.748,1.806,4.410704732219456,2
Na2CrNiBr6,Na,Cr,Ni,Br,1.392,0.801,0.695,0.748,1.955,4.609902593182023,2
Na2CrNiI6,Na,Cr,Ni,I,1.392,0.801,0.695,0.748,2.194,4.929421309759562,2
Na2CrCuF6,Na,Cr,Cu,F,1.392,0.801,0.726,0.7635000000000001,1.331,3.7789720465430756,2
Na2CrCuCl6,Na,Cr,Cu,Cl,1.392,0.801,0.726,0.7635000000000001,1.806,4.401106951585643,2
Na2CrCuBr6,Na,Cr,Cu,Br,1.392,0.801,0.726,0.7635000000000001,1.955,4.596260848114785,2
Na2CrCuI6,Na,Cr,Cu,I,1.392,0.801,0.726,0.7635000000000001,2.194,4.909292937178307,2
Na2CrZnF6,Na,Cr,Zn,F,1.392,0.801,0.743,0.772,1.331,3.7827382428468472,2
Na2CrZnCl6,Na,Cr,Zn,Cl,1.392,0.801,0.743,0.772,1.806,4.3980232169401114,2
Na2CrZnBr6,Na,Cr,Zn,Br,1.392,0.801,0.743,0.772,1.955,4.591028398287262,2
Na2CrZnI6,Na,Cr,Zn,I,1.392,0.801,0.743,0.772,2.194,4.900613890515241,2
Na2CrGeF6,Na,Cr,Ge,F,1.392,0.801,0.73,0.7655000000000001,1.331,3.779732492653814,2
Na2CrGeCl6,Na,Cr,Ge,Cl,1.392,0.801,0.73,0.7655000000000001,1.806,4.400241963587844,2
Na2CrGeBr6,Na,Cr,Ge,Br,1.392,0.801,0.73,0.7655000000000001,1.955,4.594885987101887,2
Na2CrGeI6,Na,Cr,Ge,I,1.392,0.801,0.73,0.7655000000000001,2.194,4.907100226161325,2
Na2CrSrF6,Na,Cr,Sr,F,1.392,0.801,1.179,0.99,1.331,4.470307222517809,2
Na2CrSrCl6,Na,Cr,Sr,Cl,1.392,0.801,1.179,0.99,1.806,4.950105202315789,2
Na2CrSrBr6,Na,Cr,Sr,Br,1.392,0.801,1.179,0.99,1.955,5.1006102528208395,2
Na2CrSrI6,Na,Cr,Sr,I,1.392,0.801,1.179,0.99,2.194,5.342024394234981,2
Na2CrYF6,Na,Cr,Y,F,1.392,0.801,1.113,0.9570000000000001,1.331,4.2727658562016035,2
Na2CrYCl6,Na,Cr,Y,Cl,1.392,0.801,1.113,0.9570000000000001,1.806,4.769108593923651,2
Na2CrYBr6,Na,Cr,Y,Br,1.392,0.801,1.113,0.9570000000000001,1.955,4.924803473756462,2
Na2CrYI6,Na,Cr,Y,I,1.392,0.801,1.113,0.9570000000000001,2.194,5.174542240736608,2
Na2CrNbF6,Na,Cr,Nb,F,1.392,0.801,0.927,0.8640000000000001,1.331,3.918638411033412,2
Na2CrNbCl6,Na,Cr,Nb,Cl,1.392,0.801,0.927,0.8640000000000001,1.806,4.46840692955193,2
Na2CrNbBr6,Na,Cr,Nb,Br,1.392,0.801,0.927,0.8640000000000001,1.955,4.640860633255635,2
Na2CrNbI6,Na,Cr,Nb,I,1.392,0.801,0.927,0.8640000000000001,2.194,4.917481003626005,2
Na2CrPdF6,Na,Cr,Pd,F,1.392,0.801,0.866,0.8335,1.331,3.8532386281265243,2
Na2CrPdCl6,Na,Cr,Pd,Cl,1.392,0.801,0.866,0.8335,1.806,4.423124650921965,2
Na2CrPdBr6,Na,Cr,Pd,Br,1.392,0.801,0.866,0.8335,1.955,4.601888898072535,2
Na2CrPdI6,Na,Cr,Pd,I,1.392,0.801,0.866,0.8335,2.194,4.888631549542241,2
Na2CrAgF6,Na,Cr,Ag,F,1.392,0.801,0.936,0.8685,1.331,3.9301614071350643,2
Na2CrAgCl6,Na,Cr,Ag,Cl,1.392,0.801,0.936,0.8685,1.806,4.477081384106855,2
Na2CrAgBr6,Na,Cr,Ag,Br,1.392,0.801,0.936,0.8685,1.955,4.648641545304322,2
Na2CrAgI6,Na,Cr,Ag,I,1.392,0.801,0.936,0.8685,2.194,4.923828649506969,2
Na2CrCdF6,Na,Cr,Cd,F,1.392,0.801,0.951,0.876,1.331,3.9504916662039906,2
Na2CrCdCl6,Na,Cr,Cd,Cl,1.392,0.801,0.951,0.876,1.806,4.4927291091263655,2
Na2CrCdBr6,Na,Cr,Cd,Br,1.392,0.801,0.951,0.876,1.955,4.662820433327278,2
Na2CrCdI6,Na,Cr,Cd,I,1.392,0.801,0.951,0.876,2.194,4.9356514835555885,2
Na2CrInF6,Na,Cr,In,F,1.392,0.801,0.989,0.895,1.331,4.008549770632711,2
Na2CrInCl6,Na,Cr,In,Cl,1.392,0.801,0.989,0.895,1.806,4.539276027615951,2
Na2CrInBr6,Na,Cr,In,Br,1.392,0.801,0.989,0.895,1.955,4.705756474543326,2
Na2CrInI6,Na,Cr,In,I,1.392,0.801,0.989,0.895,2.194,4.972795580688577,2
Na2CrSnF6,Na,Cr,Sn,F,1.392,0.801,1.02,0.9105000000000001,1.331,4.063294035747104,2
Na2CrSnCl6,Na,Cr,Sn,Cl,1.392,0.801,1.02,0.9105000000000001,1.806,4.5849854141106405,2
Na2CrSnBr6,Na,Cr,Sn,Br,1.392,0.801,1.02,0.9105000000000001,1.955,4.748631762270992,2
Na2CrSnI6,Na,Cr,Sn,I,1.392,0.801,1.02,0.9105000000000001,2.194,5.01112489791075,2
Na2CrBaF6,Na,Cr,Ba,F,1.392,0.801,1.34,1.0705,1.331,5.1947876803874165,2
Na2CrBaCl6,Na,Cr,Ba,Cl,1.392,0.801,1.34,1.0705,1.806,5.638505569224408,2
Na2CrBaBr6,Na,Cr,Ba,Br,1.392,0.801,1.34,1.0705,1.955,5.7776928648806445,2
Na2CrBaI6,Na,Cr,Ba,I,1.392,0.801,1.34,1.0705,2.194,6.000953023684941,2
Na2CrPtF6,Na,Cr,Pt,F,1.392,0.801,0.984,0.8925000000000001,1.331,4.000355870652268,2
Na2CrPtCl6,Na,Cr,Pt,Cl,1.392,0.801,0.984,0.8925000000000001,1.806,4.532568755806331,2
Na2CrPtBr6,Na,Cr,Pt,Br,1.392,0.801,0.984,0.8925000000000001,1.955,4.699515534517815,2
Na2CrPtI6,Na,Cr,Pt,I,1.392,0.801,0.984,0.8925000000000001,2.194,4.967302649363753,2
Na2CrHgF6,Na,Cr,Hg,F,1.392,0.801,1.03,0.9155,1.331,4.082453070922121,2
Na2CrHgCl6,Na,Cr,Hg,Cl,1.392,0.801,1.03,0.9155,1.806,4.6012952336747155,2
Na2CrHgBr6,Na,Cr,Hg,Br,1.392,0.801,1.03,0.9155,1.955,4.764047827885529,2
Na2CrHgI6,Na,Cr,Hg,I,1.392,0.801,1.03,0.9155,2.194,5.025107358196834,2
Na2CrPbF6,Na,Cr,Pb,F,1.392,0.801,1.18,0.9904999999999999,1.331,4.473664763564349,2
Na2CrPbCl6,Na,Cr,Pb,Cl,1.392,0.801,1.18,0.9904999999999999,1.806,4.953220543473485,2
Na2CrPbBr6,Na,Cr,Pb,Br,1.392,0.801,1.18,0.9904999999999999,1.955,5.103649619697615,2
Na2CrPbI6,Na,Cr,Pb,I,1.392,0.801,1.18,0.9904999999999999,2.194,5.34494189632558,2
Na2CrLaF6,Na,Cr,La,F,1.392,0.801,1.31,1.0555,1.331,5.02674450741206,2
Na2CrLaCl6,Na,Cr,La,Cl,1.392,0.801,1.31,1.0555,1.806,5.47676819286919,2
Na2CrLaBr6,Na,Cr,La,Br,1.392,0.801,1.31,1.0555,1.955,5.617933517359952,2
Na2CrLaI6,Na,Cr,La,I,1.392,0.801,1.31,1.0555,2.194,5.844366487516276,2
Na2CrCeF6,Na,Cr,Ce,F,1.392,0.801,1.287,1.044,1.331,4.909650210268998,2
Na2CrCeCl6,Na,Cr,Ce,Cl,1.392,0.801,1.287,1.044,1.806,5.364631053180875,2
Na2CrCeBr6,Na,Cr,Ce,Br,1.392,0.801,1.287,1.044,1.955,5.507351359694285,2
Na2CrCeI6,Na,Cr,Ce,I,1.392,0.801,1.287,1.044,2.194,5.736278562759418,2
Na2CrPrF6,Na,Cr,Pr,F,1.392,0.801,1.26,1.0305,1.331,4.783831090673346,2
Na2CrPrCl6,Na,Cr,Pr,Cl,1.392,0.801,1.26,1.0305,1.806,5.24477238130896,2
Na2CrPrBr6,Na,Cr,Pr,Br,1.392,0.801,1.26,1.0305,1.955,5.389362386160974,2
Na2CrPrI6,Na,Cr,Pr,I,1.392,0.801,1.26,1.0305,2.194,5.621288635554472,2
Na2CrSmF6,Na,Cr,Sm,F,1.392,0.801,1.19,0.9955,1.331,4.507889512403495,2
Na2CrSmCl6,Na,Cr,Sm,Cl,1.392,0.801,1.19,0.9955,1.806,4.98503667463353,2
Na2CrSmBr6,Na,Cr,Sm,Br,1.392,0.801,1.19,0.9955,1.955,5.134710205522531,2
Na2CrSmI6,Na,Cr,Sm,I,1.392,0.801,1.19,0.9955,2.194,5.374790567149853,2
Na2CrEuF6,Na,Cr,Eu,F,1.392,0.801,1.16,0.9804999999999999,1.331,4.4086844410064705,2
Na2CrEuCl6,Na,Cr,Eu,Cl,1.392,0.801,1.16,0.9804999999999999,1.806,4.893131151868276,2
Na2CrEuBr6,Na,Cr,Eu,Br,1.392,0.801,1.16,0.9804999999999999,1.955,5.045094435907032,2
Na2CrEuI6,Na,Cr,Eu,I,1.392,0.801,1.16,0.9804999999999999,2.194,5.288847623056445,2
Na2CrDyF6,Na,Cr,Dy,F,1.392,0.801,1.07,0.9355,1.331,4.166894341806163,2
Na2CrDyCl6,Na,Cr,Dy,Cl,1.392,0.801,1.07,0.9355,1.806,4.674644208187777,2
Na2CrDyBr6,Na,Cr,Dy,Br,1.392,0.801,1.07,0.9355,1.955,4.833917324168537,2
Na2CrDyI6,Na,Cr,Dy,I,1.392,0.801,1.07,0.9355,2.194,5.089395677990022,2
Na2CrTmF6,Na,Cr,Tm,F,1.392,0.801,1.03,0.9155,1.331,4.082453070922121,2
Na2CrTmCl6,Na,Cr,Tm,Cl,1.392,0.801,1.03,0.9155,1.806,4.6012952336747155,2
Na2CrTmBr6,Na,Cr,Tm,Br,1.392,0.801,1.03,0.9155,1.955,4.764047827885529,2
Na2CrTmI6,Na,Cr,Tm,I,1.392,0.801,1.03,0.9155,2.194,5.025107358196834,2
Na2CrYbF6,Na,Cr,Yb,F,1.392,0.801,1.02,0.9105000000000001,1.331,4.063294035747104,2
Na2CrYbCl6,Na,Cr,Yb,Cl,1.392,0.801,1.02,0.9105000000000001,1.806,4.5849854141106405,2
Na2CrYbBr6,Na,Cr,Yb,Br,1.392,0.801,1.02,0.9105000000000001,1.955,4.748631762270992,2
Na2CrYbI6,Na,Cr,Yb,I,1.392,0.801,1.02,0.9105000000000001,2.194,5.01112489791075,2
Na2MnFeF6,Na,Mn,Fe,F,1.392,0.828,0.784,0.806,1.331,3.8120634215620113,2
Na2MnFeCl6,Na,Mn,Fe,Cl,1.392,0.828,0.784,0.806,1.806,4.4013934463759075,2
Na2MnFeBr6,Na,Mn,Fe,Br,1.392,0.828,0.784,0.806,1.955,4.586256969949108,2
Na2MnFeI6,Na,Mn,Fe,I,1.392,0.828,0.784,0.806,2.194,4.882783024539679,2
Na2MnCoF6,Na,Mn,Co,F,1.392,0.828,0.742,0.7849999999999999,1.331,3.7912253793393287,2
Na2MnCoCl6,Na,Mn,Co,Cl,1.392,0.828,0.742,0.7849999999999999,1.806,4.396320920740603,2
Na2MnCoBr6,Na,Mn,Co,Br,1.392,0.828,0.742,0.7849999999999999,1.955,4.5861298379380555,2
Na2MnCoI6,Na,Mn,Co,I,1.392,0.828,0.742,0.7849999999999999,2.194,4.89058843666417,2
Na2MnNiF6,Na,Mn,Ni,F,1.392,0.828,0.695,0.7615,1.331,3.7782886352399325,2
Na2MnNiCl6,Na,Mn,Ni,Cl,1.392,0.828,0.695,0.7615,1.806,4.402057512455953,2
Na2MnNiBr6,Na,Mn,Ni,Br,1.392,0.828,0.695,0.7615,1.955,4.5977239602563476,2
Na2MnNiI6,Na,Mn,Ni,I,1.392,0.828,0.695,0.7615,2.194,4.911578195318724,2
Na2MnCuF6,Na,Mn,Cu,F,1.392,0.828,0.726,0.7769999999999999,1.331,3.785609721732007,2
Na2MnCuCl6,Na,Mn,Cu,Cl,1.392,0.828,0.726,0.7769999999999999,1.806,4.396935333057618,2
Na2MnCuBr6,Na,Mn,Cu,Br,1.392,0.828,0.726,0.7769999999999999,1.955,4.58869852482081,2
Na2MnCuI6,Na,Mn,Cu,I,1.392,0.828,0.726,0.7769999999999999,2.194,4.896291832414118,2
Na2MnZnF6,Na,Mn,Zn,F,1.392,0.828,0.743,0.7855,1.331,3.7916183894470583,2
Na2MnZnCl6,Na,Mn,Zn,Cl,1.392,0.828,0.743,0.7855,1.806,4.396328765004029,2
Na2MnZnBr6,Na,Mn,Zn,Br,1.392,0.828,0.743,0.7855,1.955,4.586016861757688,2
Na2MnZnI6,Na,Mn,Zn,I,1.392,0.828,0.743,0.7855,2.194,4.8902816612484585,2
Na2MnGeF6,Na,Mn,Ge,F,1.392,0.828,0.73,0.7789999999999999,1.331,3.7868953735217143,2
Na2MnGeCl6,Na,Mn,Ge,Cl,1.392,0.828,0.73,0.7789999999999999,1.806,4.39665147108269,2
Na2MnGeBr6,Na,Mn,Ge,Br,1.392,0.828,0.73,0.7789999999999999,1.955,4.587922331159712,2
Na2MnGeI6,Na,Mn,Ge,I,1.392,0.828,0.73,0.7789999999999999,2.194,4.894725925511445,2
Na2MnSrF6,Na,Mn,Sr,F,1.392,0.828,1.179,1.0035,1.331,4.565180842511275,2
Na2MnSrCl6,Na,Mn,Sr,Cl,1.392,0.828,1.179,1.0035,1.806,5.038524140966682,2
Na2MnSrBr6,Na,Mn,Sr,Br,1.392,0.828,1.179,1.0035,1.955,5.187004459850588,2
Na2MnSrI6,Na,Mn,Sr,I,1.392,0.828,1.179,1.0035,2.194,5.425170877389203,2
Na2MnYF6,Na,Mn,Y,F,1.392,0.828,1.113,0.9704999999999999,1.331,4.3480871123583835,2
Na2MnYCl6,Na,Mn,Y,Cl,1.392,0.828,1.113,0.9704999999999999,1.806,4.837525546155396,2
Na2MnYBr6,Na,Mn,Y,Br,1.392,0.828,1.113,0.9704999999999999,1.955,4.991054654862248,2
Na2MnYI6,Na,Mn,Y,I,1.392,0.828,1.113,0.9704999999999999,2.194,5.237319466814849,2
Na2MnNbF6,Na,Mn,Nb,F,1.392,0.828,0.927,0.8775,1.331,3.954729405872939,2
Na2MnNbCl6,Na,Mn,Nb,Cl,1.392,0.828,0.927,0.8775,1.806,4.496039947183481,2
Na2MnNbBr6,Na,Mn,Nb,Br,1.392,0.828,0.927,0.8775,1.955,4.6658405169840504,2
Na2MnNbI6,Na,Mn,Nb,I,1.392,0.828,0.927,0.8775,2.194,4.938205189348723,2
Na2MnPdF6,Na,Mn,Pd,F,1.392,0.828,0.866,0.847,1.331,3.8795207820064173,2
Na2MnPdCl6,Na,Mn,Pd,Cl,1.392,0.828,0.866,0.847,1.806,4.440323615536523,2
Na2MnPdBr6,Na,Mn,Pd,Br,1.392,0.828,0.866,0.847,1.955,4.616238609633336,2
Na2MnPdI6,Na,Mn,Pd,I,1.392,0.828,0.866,0.847,2.194,4.8984109827147995,2
Na2MnAgF6,Na,Mn,Ag,F,1.392,0.828,0.936,0.882,1.331,3.967792063187378,2
Na2MnAgCl6,Na,Mn,Ag,Cl,1.392,0.828,0.936,0.882,1.806,4.506340816021845,2
Na2MnAgBr6,Na,Mn,Ag,Br,1.392,0.828,0.936,0.882,1.955,4.675275056384657,2
Na2MnAgI6,Na,Mn,Ag,I,1.392,0.828,0.936,0.882,2.194,4.946250113073999,2
Na2MnCdF6,Na,Mn,Cd,F,1.392,0.828,0.951,0.8895,1.331,3.990749244011426,2
Na2MnCdCl6,Na,Mn,Cd,Cl,1.392,0.828,0.951,0.8895,1.806,4.524757113601083,2
Na2MnCdBr6,Na,Mn,Cd,Br,1.392,0.828,0.951,0.8895,1.955,4.692266950588154,2
Na2MnCdI6,Na,Mn,Cd,I,1.392,0.828,0.951,0.8895,2.194,4.960957226023792,2
Na2MnInF6,Na,Mn,In,F,1.392,0.828,0.989,0.9085,1.331,4.055839521707906,2
Na2MnInCl6,Na,Mn,In,Cl,1.392,0.828,0.989,0.9085,1.806,4.578679367607741,2
Na2MnInBr6,Na,Mn,In,Br,1.392,0.828,0.989,0.9085,1.955,4.742685971900531,2
Na2MnInI6,Na,Mn,In,I,1.392,0.828,0.989,0.9085,2.194,5.005756968048027,2
Na2MnSnF6,Na,Mn,Sn,F,1.392,0.828,1.02,0.9239999999999999,1.331,4.116780483680839,2
Na2MnSnCl6,Na,Mn,Sn,Cl,1.392,0.828,1.02,0.9239999999999999,1.806,4.630849747750103,2
Na2MnSnBr6,Na,Mn,Sn,Br,1.392,0.828,1.02,0.9239999999999999,1.955,4.792105159005514,2
Na2MnSnI6,Na,Mn,Sn,I,1.392,0.828,1.02,0.9239999999999999,2.194,5.050763167663522,2
Na2MnBaF6,Na,Mn,Ba,F,1.392,0.828,1.34,1.084,1.331,5.362672852764828,2
Na2MnBaCl6,Na,Mn,Ba,Cl,1.392,0.828,1.34,1.084,1.806,5.800864734683648,2
Na2MnBaBr6,Na,Mn,Ba,Br,1.392,0.828,1.34,1.084,1.955,5.938318609222393,2
Na2MnBaI6,Na,Mn,Ba,I,1.392,0.828,1.34,1.084,2.194,6.158798314019441,2
Na2MnPtF6,Na,Mn,Pt,F,1.392,0.828,0.984,0.9059999999999999,1.331,4.046686922820119,2
Na2MnPtCl6,Na,Mn,Pt,Cl,1.392,0.828,0.984,0.9059999999999999,1.806,4.570969483526521,2
Na2MnPtBr6,Na,Mn,Pt,Br,1.392,0.828,0.984,0.9059999999999999,1.955,4.735428644674424,2
Na2MnPtI6,Na,Mn,Pt,I,1.392,0.828,0.984,0.9059999999999999,2.194,4.9992255541666974,2
Na2MnHgF6,Na,Mn,Hg,F,1.392,0.828,1.03,0.929,1.331,4.138038507174136,2
Na2MnHgCl6,Na,Mn,Hg,Cl,1.392,0.828,1.03,0.929,1.806,4.649340982954546,2
Na2MnHgBr6,Na,Mn,Hg,Br,1.392,0.828,1.03,0.929,1.955,4.809728496409874,2
Na2MnHgI6,Na,Mn,Hg,I,1.392,0.828,1.03,0.929,2.194,5.06699437369728,2
Na2MnPbF6,Na,Mn,Pb,F,1.392,0.828,1.18,1.004,1.331,4.568868236093584,2
Na2MnPbCl6,Na,Mn,Pb,Cl,1.392,0.828,1.18,1.004,1.806,5.041975805814699,2
Na2MnPbBr6,Na,Mn,Pb,Br,1.392,0.828,1.18,1.004,1.955,5.190382180316692,2
Na2MnPbI6,Na,Mn,Pb,I,1.392,0.828,1.18,1.004,2.194,5.428429989081632,2
Na2MnLaF6,Na,Mn,La,F,1.392,0.828,1.31,1.069,1.331,5.177146111876553,2
Na2MnLaCl6,Na,Mn,La,Cl,1.392,0.828,1.31,1.069,1.806,5.621486617021548,2
Na2MnLaBr6,Na,Mn,La,Br,1.392,0.828,1.31,1.069,1.955,5.760869217582821,2
Na2MnLaI6,Na,Mn,La,I,1.392,0.828,1.31,1.069,2.194,5.984442650697881,2
Na2MnCeF6,Na,Mn,Ce,F,1.392,0.828,1.287,1.0574999999999999,1.331,5.048110463700008,2
Na2MnCeCl6,Na,Mn,Ce,Cl,1.392,0.828,1.287,1.0574999999999999,1.806,5.497283040532159,2
Na2MnCeBr6,Na,Mn,Ce,Br,1.392,0.828,1.287,1.0574999999999999,1.955,5.638181385685824,2
Na2MnCeI6,Na,Mn,Ce,I,1.392,0.828,1.287,1.0574999999999999,2.194,5.864186113818212,2
Na2MnPrF6,Na,Mn,Pr,F,1.392,0.828,1.26,1.044,1.331,4.909650210268998,2
Na2MnPrCl6,Na,Mn,Pr,Cl,1.392,0.828,1.26,1.044,1.806,5.364631053180875,2
Na2MnPrBr6,Na,Mn,Pr,Br,1.392,0.828,1.26,1.044,1.955,5.507351359694285,2
Na2MnPrI6,Na,Mn,Pr,I,1.392,0.828,1.26,1.044,2.194,5.736278562759418,2
Na2MnSmF6,Na,Mn,Sm,F,1.392,0.828,1.19,1.009,1.331,4.606454411077189,2
Na2MnSmCl6,Na,Mn,Sm,Cl,1.392,0.828,1.19,1.009,1.806,5.077217542890866,2
Na2MnSmBr6,Na,Mn,Sm,Br,1.392,0.828,1.19,1.009,1.955,5.224888504238734,2
Na2MnSmI6,Na,Mn,Sm,I,1.392,0.828,1.19,1.009,2.194,5.461756690561827,2
Na2MnEuF6,Na,Mn,Eu,F,1.392,0.828,1.16,0.994,1.331,4.497497014043198,2
Na2MnEuCl6,Na,Mn,Eu,Cl,1.392,0.828,1.16,0.994,1.806,4.975364217262514,2
Na2MnEuBr6,Na,Mn,Eu,Br,1.392,0.828,1.16,0.994,1.955,5.125263613640784,2
Na2MnEuI6,Na,Mn,Eu,I,1.392,0.828,1.16,0.994,2.194,5.365706269576397,2
Na2MnDyF6,Na,Mn,Dy,F,1.392,0.828,1.07,0.9490000000000001,1.331,4.231432528842165,2
Na2MnDyCl6,Na,Mn,Dy,Cl,1.392,0.828,1.07,0.9490000000000001,1.806,4.731959399232048,2
Na2MnDyBr6,Na,Mn,Dy,Br,1.392,0.828,1.07,0.9490000000000001,1.955,4.888966775417506,2
Na2MnDyI6,Na,Mn,Dy,I,1.392,0.828,1.07,0.9490000000000001,2.194,5.1408108217821,2
Na2MnTmF6,Na,Mn,Tm,F,1.392,0.828,1.03,0.929,1.331,4.138038507174136,2
Na2MnTmCl6,Na,Mn,Tm,Cl,1.392,0.828,1.03,0.929,1.806,4.649340982954546,2
Na2MnTmBr6,Na,Mn,Tm,Br,1.392,0.828,1.03,0.929,1.955,4.809728496409874,2
Na2MnTmI6,Na,Mn,Tm,I,1.392,0.828,1.03,0.929,2.194,5.06699437369728,2
Na2MnYbF6,Na,Mn,Yb,F,1.392,0.828,1.02,0.9239999999999999,1.331,4.116780483680839,2
Na2MnYbCl6,Na,Mn,Yb,Cl,1.392,0.828,1.02,0.9239999999999999,1.806,4.630849747750103,2
Na2MnYbBr6,Na,Mn,Yb,Br,1.392,0.828,1.02,0.9239999999999999,1.955,4.792105159005514,2
Na2MnYbI6,Na,Mn,Yb,I,1.392,0.828,1.02,0.9239999999999999,2.194,5.050763167663522,2
Na2FeCoF6,Na,Fe,Co,F,1.392,0.784,0.742,0.763,1.331,3.7787939787146705,2
Na2FeCoCl6,Na,Fe,Co,Cl,1.392,0.784,0.742,0.763,1.806,4.40133657373433,2
Na2FeCoBr6,Na,Fe,Co,Br,1.392,0.784,0.742,0.763,1.955,4.596618356172075,2
Na2FeCoI6,Na,Fe,Co,I,1.392,0.784,0.742,0.763,2.194,4.909855577666177,2
Na2FeNiF6,Na,Fe,Ni,F,1.392,0.784,0.695,0.7395,1.331,3.775810714326104,2
Na2FeNiCl6,Na,Fe,Ni,Cl,1.392,0.784,0.695,0.7395,1.806,4.418136610201696,2
Na2FeNiBr6,Na,Fe,Ni,Br,1.392,0.784,0.695,0.7395,1.955,4.6196241017500395,2
Na2FeNiI6,Na,Fe,Ni,I,1.392,0.784,0.695,0.7395,2.194,4.942815447253757,2
Na2FeCuF6,Na,Fe,Cu,F,1.392,0.784,0.726,0.755,1.331,3.776597497407124,2
Na2FeCuCl6,Na,Fe,Cu,Cl,1.392,0.784,0.726,0.755,1.806,4.405736570254806,2
