A_Density,B_Density,C_Density,X_Density,A_dipole Polarizability,B_dipole Polarizability,C_dipole Polarizability,X_dipole Polarizability,A_covalent Radius,B_covalent Radius,C_covalent Radius,X_covalent Radius,A_atomic Radius,B_atomic Radius,C_atomic Radius,X_atomic Radius,A_FirstIonization,B_FirstIonization,C_FirstIonization,X_FirstIonization,A_number of Valence Electrons,B_number of Valence Electrons,C_number of Valence Electrons,X_number of Valence Electrons,A_number,B_number,C_number,X_number,A_Period,B_Period,C_Period,X_Period,A_Electronegativity,B_Electronegativity,C_Electronegativity,X_Electronegativity,A_number of s+p Electrons,B_number of s+p Electrons,C_number of s+p Electrons,X_number of s+p Electrons,A_number of d Electrons,B_number of d Electrons,C_number of d Electrons,X_number of d Electrons,A_Mulliken EN,B_Mulliken EN,C_Mulliken EN,X_Mulliken EN,A-B_Density,A-C_Density,(A+B+C)-X_Density,A-B_dipole Polarizability,A-C_dipole Polarizability,(A+B+C)-X_dipole Polarizability,A-B_covalent Radius,A-C_covalent Radius,(A+B+C)-X_covalent Radius,A-B_atomic Radius,A-C_atomic Radius,(A+B+C)-X_atomic Radius,A-B_FirstIonization,A-C_FirstIonization,(A+B+C)-X_FirstIonization,A-B_number of Valence Electrons,A-C_number of Valence Electrons,(A+B+C)-X_number of Valence Electrons,A-B_number,A-C_number,(A+B+C)-X_number,A-B_Period,A-C_Period,(A+B+C)-X_Period,A-B_Electronegativity,A-C_Electronegativity,(A+B+C)-X_Electronegativity,A-B_number of s+p Electrons,A-C_number of s+p Electrons,(A+B+C)-X_number of s+p Electrons,A-B_number of d Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-B_Mulliken EN,A-C_Mulliken EN,(A+B+C)-X_Mulliken EN
3.74,8.57,10.5,0.010199999999999999,801.8,98.0,55.0,22.44,464,147,128,384,5.2,1.45,1.6,3.0,751.4,652.1,731.0,10086.0,2,5,11,42,110,41,47,54,12,5,5,12,1.58,1.6,1.93,23.88,2,1,1,42,0,4,10,0,4.36,4.0,4.44,62.46,4.83,6.76,22.7998,703.8,746.8,932.3599999999999,317,336,355,3.75,3.6,5.25,99.29999999999995,20.399999999999977,7951.5,3,9,24,69,63,144,7,7,10,0.020000000000000018,0.34999999999999987,18.77,1,1,38,4,10,14,0.3600000000000003,0.08000000000000007,49.66
3.74,8.57,8.96,0.010199999999999999,801.8,98.0,46.5,22.44,464,147,112,384,5.2,1.45,1.35,3.0,751.4,652.1,745.5,10086.0,2,5,11,42,110,41,29,54,12,5,4,12,1.58,1.6,1.9,23.88,2,1,1,42,0,4,10,0,4.36,4.0,4.48,62.46,4.83,5.220000000000001,21.259800000000002,703.8,755.3,923.8599999999999,317,352,339,3.75,3.85,5.0,99.29999999999995,5.899999999999977,7937.0,3,9,24,69,81,126,7,8,9,0.020000000000000018,0.31999999999999984,18.799999999999997,1,1,38,4,10,14,0.3600000000000003,0.1200000000000001,49.620000000000005
3.74,6.77,10.5,0.01926,801.8,216.0,55.0,87.6,464,176,128,594,5.2,1.85,1.6,6.0,751.4,527.0,731.0,7507.200000000001,2,3,11,42,110,59,47,102,12,6,5,18,1.58,1.13,1.93,18.96,2,2,1,42,0,0,10,0,4.36,3.1,4.44,49.800000000000004,3.0299999999999994,6.76,20.99074,585.8,746.8,985.1999999999999,288,336,174,3.35,3.6,2.6500000000000004,224.39999999999998,20.399999999999977,5497.800000000001,1,9,26,51,63,114,6,7,5,0.4500000000000002,0.34999999999999987,14.32,0,1,37,0,10,10,1.2600000000000002,0.08000000000000007,37.900000000000006
3.74,6.77,10.5,0.010199999999999999,801.8,216.0,55.0,22.44,464,176,128,384,5.2,1.85,1.6,3.0,751.4,527.0,731.0,10086.0,2,3,11,42,110,59,47,54,12,6,5,12,1.58,1.13,1.93,23.88,2,2,1,42,0,0,10,0,4.36,3.1,4.44,62.46,3.0299999999999994,6.76,20.999799999999997,585.8,746.8,1050.36,288,336,384,3.35,3.6,5.65,224.39999999999998,20.399999999999977,8076.6,1,9,26,51,63,162,6,7,11,0.4500000000000002,0.34999999999999987,19.24,0,1,37,0,10,10,1.2600000000000002,0.08000000000000007,50.56
3.74,6.77,10.5,29.58,801.8,216.0,55.0,197.39999999999998,464,176,128,798,5.2,1.85,1.6,8.399999999999999,751.4,527.0,731.0,6050.4,2,3,11,42,110,59,47,318,12,6,5,30,1.58,1.13,1.93,15.96,2,2,1,42,0,0,10,60,4.36,3.1,4.44,40.56,3.0299999999999994,6.76,8.57,585.8,746.8,875.4,288,336,30,3.35,3.6,0.2500000000000018,224.39999999999998,20.399999999999977,4040.9999999999995,1,9,26,51,63,102,6,7,7,0.4500000000000002,0.34999999999999987,11.32,0,1,37,0,10,50,1.2600000000000002,0.08000000000000007,28.66
3.74,6.77,8.96,18.72,801.8,216.0,46.5,126.0,464,176,112,684,5.2,1.85,1.35,6.8999999999999995,751.4,527.0,745.5,6839.400000000001,2,3,11,42,110,59,29,210,12,6,4,24,1.58,1.13,1.9,17.759999999999998,2,2,1,42,0,0,10,0,4.36,3.1,4.48,45.54,3.0299999999999994,5.220000000000001,0.75,585.8,755.3,938.3,288,352,68,3.35,3.85,1.5000000000000009,224.39999999999998,5.899999999999977,4815.5,1,9,26,51,81,12,6,8,2,0.4500000000000002,0.31999999999999984,13.149999999999999,0,1,37,0,10,10,1.2600000000000002,0.1200000000000001,33.599999999999994
3.74,6.77,8.96,0.01926,801.8,216.0,46.5,87.6,464,176,112,594,5.2,1.85,1.35,6.0,751.4,527.0,745.5,7507.200000000001,2,3,11,42,110,59,29,102,12,6,4,18,1.58,1.13,1.9,18.96,2,2,1,42,0,0,10,0,4.36,3.1,4.48,49.800000000000004,3.0299999999999994,5.220000000000001,19.45074,585.8,755.3,976.6999999999999,288,352,158,3.35,3.85,2.4000000000000004,224.39999999999998,5.899999999999977,5483.300000000001,1,9,26,51,81,96,6,8,4,0.4500000000000002,0.31999999999999984,14.350000000000001,0,1,37,0,10,10,1.2600000000000002,0.1200000000000001,37.86
3.74,6.77,8.96,29.58,801.8,216.0,46.5,197.39999999999998,464,176,112,798,5.2,1.85,1.35,8.399999999999999,751.4,527.0,745.5,6050.4,2,3,11,42,110,59,29,318,12,6,4,30,1.58,1.13,1.9,15.96,2,2,1,42,0,0,10,60,4.36,3.1,4.48,40.56,3.0299999999999994,5.220000000000001,10.11,585.8,755.3,866.9,288,352,46,3.35,3.85,1.7763568394002505e-15,224.39999999999998,5.899999999999977,4026.4999999999995,1,9,26,51,81,120,6,8,8,0.4500000000000002,0.31999999999999984,11.350000000000001,0,1,37,0,10,50,1.2600000000000002,0.1200000000000001,28.62
3.74,1.53,2.7,18.72,801.8,319.8,57.8,126.0,464,210,126,684,5.2,2.35,1.25,6.8999999999999995,751.4,403.0,577.5,6839.400000000001,2,1,3,42,110,37,13,210,12,5,3,24,1.58,0.82,1.61,17.759999999999998,2,1,3,42,0,0,0,0,4.36,2.34,3.23,45.54,2.21,1.04,10.749999999999998,481.99999999999994,744.0,1053.3999999999999,254,338,116,2.85,3.95,1.9000000000000012,348.4,173.89999999999998,5107.5,1,1,36,73,97,50,7,9,4,0.7600000000000001,0.030000000000000027,13.749999999999998,1,1,36,0,0,0,2.0200000000000005,1.1300000000000003,35.61
3.74,1.53,2.7,0.01926,801.8,319.8,57.8,87.6,464,210,126,594,5.2,2.35,1.25,6.0,751.4,403.0,577.5,7507.200000000001,2,1,3,42,110,37,13,102,12,5,3,18,1.58,0.82,1.61,18.96,2,1,3,42,0,0,0,0,4.36,2.34,3.23,49.800000000000004,2.21,1.04,7.950740000000001,481.99999999999994,744.0,1091.8,254,338,206,2.85,3.95,2.8000000000000007,348.4,173.89999999999998,5775.300000000001,1,1,36,73,97,58,7,9,2,0.7600000000000001,0.030000000000000027,14.950000000000001,1,1,36,0,0,0,2.0200000000000005,1.1300000000000003,39.870000000000005
