formula,number
Rb2VSmBr6,2
Rb2VEuBr6,2
Rb2VDyBr6,2
Rb2VTmBr6,2
Rb2VYbCl6,2
Rb2VYbBr6,2
Rb2CrSrBr6,2
Rb2CrYBr6,2
Rb2CrNbBr6,2
Rb2CrInCl6,2
Rb2CrInBr6,2
Rb2CrSnCl6,2
Rb2CrSnBr6,2
Rb2CrPbBr6,2
Rb2CrCeBr6,2
Rb2CrPrBr6,2
Rb2CrSmBr6,2
Rb2CrEuBr6,2
Rb2CrDyBr6,2
Rb2CrTmBr6,2
Rb2CrYbBr6,2
Rb2MnYBr6,2
Rb2MnInCl6,2
Rb2MnInBr6,2
Rb2MnPrBr6,2
Rb2MnSmBr6,2
Rb2MnEuBr6,2
Rb2MnDyBr6,2
Rb2MnTmBr6,2
Rb2MnYbCl6,2
Rb2MnYbBr6,2
Rb2FeYBr6,2
Rb2FeLaBr6,2
Rb2FePrBr6,2
Rb2FeSmBr6,2
Rb2FeDyBr6,2
Rb2FeTmCl6,2
Rb2FeTmBr6,2
Rb2FeYbCl6,2
Rb2FeYbBr6,2
Rb2CoBaBr6,2
Rb2CoPrBr6,2
Rb2CoTmCl6,2
Rb2NiYBr6,2
Rb2NiAgCl6,2
Rb2NiInCl6,2
Rb2NiBaBr6,2
Rb2NiHgF6,2
Rb2NiLaCl6,2
Rb2NiLaBr6,2
Rb2NiCeBr6,2
Rb2NiPrBr6,2
Rb2NiSmBr6,2
Rb2NiEuBr6,2
Rb2NiDyBr6,2
Rb2NiTmCl6,2
Rb2NiTmBr6,2
Rb2NiYbF6,2
Rb2NiYbCl6,2
Rb2NiYbBr6,2
Rb2CuYBr6,2
Rb2CuPrBr6,2
Rb2CuDyBr6,2
Rb2CuTmBr6,2
Rb2ZnYCl6,2
Rb2ZnYBr6,2
Rb2ZnLaBr6,2
Rb2ZnPrBr6,2
Rb2ZnSmBr6,2
Rb2ZnDyBr6,2
Rb2ZnTmBr6,2
Rb2ZnYbBr6,2
Rb2GeYBr6,2
Rb2GeInBr6,2
Rb2GePbCl6,2
Rb2GePbBr6,2
Rb2GeLaCl6,2
Rb2GeLaBr6,2
Rb2GeCeBr6,2
Rb2GePrBr6,2
Rb2GeSmBr6,2
Rb2GeEuBr6,2
Rb2GeDyBr6,2
Rb2GeTmBr6,2
Rb2GeYbBr6,2
Rb2YNbBr6,2
Rb2YInBr6,2
Rb2YSnCl6,2
Rb2NbInBr6,2
Rb2NbSnBr6,2
Rb2NbPbCl6,2
Rb2NbEuBr6,2
Rb2NbDyBr6,2
Rb2NbTmBr6,2
Rb2NbYbBr6,2
Rb2AgEuBr6,2
Rb2AgDyBr6,2
Rb2AgTmBr6,2
Rb2AgYbF6,2
Rb2AgYbBr6,2
Rb2CdDyBr6,2
Rb2CdTmBr6,2
Rb2CdYbBr6,2
Rb2InSnBr6,2
Rb2InPbCl6,2
Rb2InDyBr6,2
Rb2InTmBr6,2
Rb2SnPbCl6,2
Rb2SnDyBr6,2
Rb2SnTmBr6,2
Rb2SnYbBr6,2
Rb2PbTmCl6,2
Cs2BeSrBr6,2
Cs2BeBaBr6,2
Cs2BePtF6,2
Cs2BePbF6,2
Cs2BePbCl6,2
Cs2BePbBr6,2
Cs2BeLaBr6,2
Cs2BeCeBr6,2
Cs2BePrBr6,2
Cs2BeSmBr6,2
Cs2BeTmF6,2
Cs2BeTmCl6,2
Cs2BeYbF6,2
Cs2MgScBr6,2
Cs2MgYBr6,2
Cs2MgNbBr6,2
Cs2MgInBr6,2
Cs2MgPbF6,2
Cs2MgPbCl6,2
Cs2MgPbBr6,2
Cs2MgLaBr6,2
Cs2MgLaI6,2
Cs2MgCeBr6,2
Cs2MgPrBr6,2
Cs2MgPrI6,2
Cs2MgSmBr6,2
Cs2MgEuBr6,2
Cs2MgDyBr6,2
Cs2MgTmBr6,2
Cs2MgYbBr6,2
Cs2CaVBr6,2
Cs2CaCrBr6,2
Cs2CaYBr6,2
Cs2CaYI6,2
Cs2CaNbBr6,2
Cs2CaInBr6,2
Cs2CaInI6,2
Cs2CaPbCl6,2
Cs2CaPbBr6,2
Cs2CaLaBr6,2
Cs2CaPrBr6,2
Cs2CaSmBr6,2
Cs2CaDyBr6,2
Cs2CaTmBr6,2
Cs2CaYbBr6,2
Cs2ScTiBr6,2
Cs2ScVBr6,2
Cs2ScCrBr6,2
Cs2ScMnBr6,2
Cs2ScSrBr6,2
Cs2ScYBr6,2
Cs2ScNbBr6,2
Cs2ScInCl6,2
Cs2ScInBr6,2
Cs2ScSnCl6,2
Cs2ScSnBr6,2
Cs2ScBaBr6,2
Cs2ScPbCl6,2
Cs2ScPbBr6,2
Cs2ScLaBr6,2
Cs2ScPrBr6,2
Cs2ScPrI6,2
Cs2ScSmBr6,2
Cs2ScDyBr6,2
Cs2ScTmCl6,2
Cs2ScTmBr6,2
Cs2ScYbCl6,2
Cs2ScYbBr6,2
Cs2TiVBr6,2
Cs2TiCrBr6,2
Cs2TiMnBr6,2
Cs2TiGeCl6,2
Cs2TiSrBr6,2
Cs2TiYBr6,2
Cs2TiYI6,2
Cs2TiNbBr6,2
Cs2TiPdBr6,2
Cs2TiInCl6,2
Cs2TiInBr6,2
Cs2TiSnCl6,2
Cs2TiSnBr6,2
Cs2TiBaBr6,2
Cs2TiHgF6,2
Cs2TiHgCl6,2
Cs2TiPbBr6,2
Cs2TiPbI6,2
Cs2TiLaBr6,2
Cs2TiLaI6,2
Cs2TiCeBr6,2
Cs2TiCeI6,2
Cs2TiPrBr6,2
Cs2TiPrI6,2
Cs2TiSmBr6,2
Cs2TiSmI6,2
Cs2TiEuBr6,2
Cs2TiEuI6,2
Cs2TiDyBr6,2
Cs2TiTmCl6,2
Cs2TiTmBr6,2
Cs2TiYbCl6,2
Cs2TiYbBr6,2
Cs2VSrBr6,2
Cs2VSrI6,2
Cs2VYBr6,2
Cs2VNbBr6,2
Cs2VInBr6,2
Cs2VSnBr6,2
Cs2VBaBr6,2
Cs2VBaI6,2
Cs2VHgF6,2
Cs2VPbBr6,2
Cs2VPbI6,2
Cs2VLaBr6,2
Cs2VLaI6,2
Cs2VCeBr6,2
Cs2VCeI6,2
Cs2VPrBr6,2
Cs2VPrI6,2
Cs2VSmBr6,2
Cs2VSmI6,2
Cs2VEuBr6,2
Cs2VDyBr6,2
Cs2VTmBr6,2
Cs2VYbCl6,2
Cs2VYbBr6,2
Cs2CrSrBr6,2
Cs2CrSrI6,2
Cs2CrYBr6,2
Cs2CrNbBr6,2
Cs2CrInBr6,2
Cs2CrSnBr6,2
Cs2CrBaBr6,2
Cs2CrBaI6,2
Cs2CrPbBr6,2
Cs2CrPbI6,2
Cs2CrLaBr6,2
Cs2CrLaI6,2
Cs2CrCeBr6,2
Cs2CrCeI6,2
Cs2CrPrBr6,2
Cs2CrPrI6,2
Cs2CrSmBr6,2
Cs2CrSmI6,2
Cs2CrEuBr6,2
Cs2CrDyBr6,2
Cs2CrTmBr6,2
Cs2CrYbBr6,2
Cs2MnYBr6,2
Cs2MnInCl6,2
Cs2MnInBr6,2
Cs2MnLaBr6,2
Cs2MnLaI6,2
Cs2MnCeBr6,2
Cs2MnCeI6,2
Cs2MnPrBr6,2
Cs2MnPrI6,2
Cs2MnSmBr6,2
Cs2MnSmI6,2
Cs2MnEuBr6,2
Cs2MnEuI6,2
Cs2MnDyBr6,2
Cs2MnTmBr6,2
Cs2MnYbCl6,2
Cs2MnYbBr6,2
Cs2FeYBr6,2
Cs2FePrBr6,2
Cs2FeTmCl6,2
Cs2CoSrBr6,2
Cs2CoYBr6,2
Cs2CoBaBr6,2
Cs2CoLaBr6,2
Cs2CoCeBr6,2
Cs2CoPrBr6,2
Cs2CoPrI6,2
Cs2CoSmBr6,2
Cs2CoDyBr6,2
Cs2CoTmCl6,2
Cs2CoTmBr6,2
Cs2CoYbCl6,2
Cs2CoYbBr6,2
Cs2NiSrBr6,2
Cs2NiYBr6,2
Cs2NiNbCl6,2
Cs2NiBaBr6,2
Cs2NiLaCl6,2
Cs2NiLaBr6,2
Cs2NiPrBr6,2
Cs2NiSmBr6,2
Cs2NiDyBr6,2
Cs2NiTmCl6,2
Cs2NiTmBr6,2
Cs2NiYbCl6,2
Cs2NiYbBr6,2
Cs2CuSrBr6,2
Cs2CuYBr6,2
Cs2CuNbBr6,2
Cs2CuLaBr6,2
Cs2CuLaI6,2
Cs2CuCeBr6,2
Cs2CuPrBr6,2
Cs2CuPrI6,2
Cs2CuSmBr6,2
Cs2CuEuBr6,2
Cs2CuDyBr6,2
Cs2CuTmBr6,2
Cs2CuYbBr6,2
Cs2ZnYBr6,2
Cs2ZnNbBr6,2
Cs2ZnInBr6,2
Cs2ZnLaBr6,2
Cs2ZnPrBr6,2
Cs2ZnPrI6,2
Cs2ZnSmBr6,2
Cs2ZnDyBr6,2
Cs2ZnTmBr6,2
Cs2ZnYbBr6,2
Cs2GeYBr6,2
Cs2GeNbBr6,2
Cs2GeInBr6,2
Cs2GePbCl6,2
Cs2GePbBr6,2
Cs2GeLaBr6,2
Cs2GeLaI6,2
Cs2GeCeBr6,2
Cs2GePrBr6,2
Cs2GePrI6,2
Cs2GeSmBr6,2
Cs2GeEuBr6,2
Cs2GeDyBr6,2
Cs2GeTmBr6,2
Cs2GeYbBr6,2
Cs2SrYBr6,2
Cs2SrNbI6,2
Cs2SrInBr6,2
Cs2SrInI6,2
Cs2SrPbCl6,2
Cs2SrPbBr6,2
Cs2SrPrBr6,2
Cs2SrSmBr6,2
Cs2SrDyBr6,2
Cs2SrTmBr6,2
Cs2SrYbBr6,2
Cs2YNbBr6,2
Cs2YInCl6,2
Cs2YInBr6,2
Cs2YSnCl6,2
Cs2YSnBr6,2
Cs2YBaBr6,2
Cs2YPbBr6,2
Cs2YLaBr6,2
Cs2YPrBr6,2
Cs2YSmBr6,2
Cs2YDyBr6,2
Cs2YTmBr6,2
Cs2NbInBr6,2
Cs2NbSnBr6,2
Cs2NbBaBr6,2
Cs2NbPbCl6,2
Cs2NbPbBr6,2
Cs2NbLaBr6,2
Cs2NbCeBr6,2
Cs2NbPrBr6,2
Cs2NbPrI6,2
Cs2NbSmBr6,2
Cs2NbSmI6,2
Cs2NbEuBr6,2
Cs2NbDyBr6,2
Cs2NbDyI6,2
Cs2NbTmBr6,2
Cs2NbYbBr6,2
Cs2AgBaBr6,2
Cs2AgSmBr6,2
Cs2AgSmI6,2
Cs2AgEuBr6,2
Cs2AgDyBr6,2
Cs2AgDyI6,2
Cs2AgTmBr6,2
Cs2AgTmI6,2
Cs2AgYbF6,2
Cs2AgYbBr6,2
Cs2CdLaBr6,2
Cs2CdPrBr6,2
Cs2CdSmBr6,2
Cs2CdDyBr6,2
Cs2CdTmBr6,2
Cs2CdYbBr6,2
Cs2InSnBr6,2
Cs2InSnI6,2
Cs2InBaBr6,2
Cs2InPbCl6,2
Cs2InPbBr6,2
Cs2InPbI6,2
Cs2InLaBr6,2
Cs2InPrBr6,2
Cs2InDyBr6,2
Cs2InTmBr6,2
Cs2SnPbCl6,2
Cs2SnPbBr6,2
Cs2SnLaCl6,2
Cs2SnLaBr6,2
Cs2SnCeBr6,2
Cs2SnPrBr6,2
Cs2SnSmBr6,2
Cs2SnEuBr6,2
Cs2SnDyBr6,2
Cs2SnDyI6,2
Cs2SnTmBr6,2
Cs2SnTmI6,2
Cs2SnYbBr6,2
Cs2SnYbI6,2
Cs2BaPbCl6,2
Cs2BaDyBr6,2
Cs2BaTmBr6,2
Cs2BaYbBr6,2
Cs2PbPrCl6,2
Cs2PbPrBr6,2
Cs2PbSmBr6,2
Cs2PbEuCl6,2
Cs2PbEuBr6,2
Cs2PbDyCl6,2
Cs2PbDyBr6,2
Cs2PbTmCl6,2
Cs2PbTmBr6,2
Cs2PbYbCl6,2
Cs2PbYbBr6,2
Cs2PrSmBr6,2
Cs2PrDyBr6,2
Cs2PrTmBr6,2
Cs2SmDyBr6,2
Cs2SmTmBr6,2
Cs2EuDyBr6,2
Cs2EuTmBr6,2
Cs2DyTmBr6,2
Cs2TmYbCl6,2
Cs2TmYbBr6,2
Tl2MgCaBr6,2
Tl2CaScBr6,2
Tl2CaTiBr6,2
Tl2CaVBr6,2
Tl2CaCrBr6,2
Tl2CaGeBr6,2
Tl2CaNbBr6,2
Tl2CaTmBr6,2
Tl2CaYbBr6,2
