formula,number
Rb2LiUCl6,1
Rb2LiUBr6,1
Rb2NaBF6,1
Rb2NaNF6,1
Rb2NaAlF6,1
Rb2NaAlCl6,1
Rb2NaPF6,1
Rb2NaScF6,1
Rb2NaScCl6,1
Rb2NaScBr6,1
Rb2NaTiF6,1
Rb2NaTiCl6,1
Rb2NaTiBr6,1
Rb2NaVF6,1
Rb2NaVCl6,1
Rb2NaCrF6,1
Rb2NaCrCl6,1
Rb2NaMnF6,1
Rb2NaMnCl6,1
Rb2NaFeF6,1
Rb2NaFeCl6,1
Rb2NaCoF6,1
Rb2NaCoCl6,1
Rb2NaNiF6,1
Rb2NaNiCl6,1
Rb2NaCuF6,1
Rb2NaCuCl6,1
Rb2NaGaF6,1
Rb2NaGaCl6,1
Rb2NaAsF6,1
Rb2NaAsCl6,1
Rb2NaYF6,1
Rb2NaYCl6,1
Rb2NaYBr6,1
Rb2NaNbF6,1
Rb2NaNbCl6,1
Rb2NaNbBr6,1
Rb2NaMoF6,1
Rb2NaMoCl6,1
Rb2NaMoBr6,1
Rb2NaRuF6,1
Rb2NaRuCl6,1
Rb2NaRuBr6,1
Rb2NaRhF6,1
Rb2NaRhCl6,1
Rb2NaRhBr6,1
Rb2NaPdF6,1
Rb2NaPdCl6,1
Rb2NaPdBr6,1
Rb2NaAgF6,1
Rb2NaAgCl6,1
Rb2NaAgBr6,1
Rb2NaInF6,1
Rb2NaInCl6,1
Rb2NaInBr6,1
Rb2NaSbF6,1
Rb2NaSbCl6,1
Rb2NaSbBr6,1
Rb2NaTaF6,1
Rb2NaTaCl6,1
Rb2NaTaBr6,1
Rb2NaIrF6,1
Rb2NaIrCl6,1
Rb2NaIrBr6,1
Rb2NaAuF6,1
Rb2NaAuCl6,1
Rb2NaAuBr6,1
Rb2NaTlF6,1
Rb2NaTlCl6,1
Rb2NaTlBr6,1
Rb2NaBiF6,1
Rb2NaBiCl6,1
Rb2NaBiBr6,1
Rb2NaLaF6,1
Rb2NaLaCl6,1
Rb2NaLaBr6,1
Rb2NaCeF6,1
Rb2NaCeCl6,1
Rb2NaCeBr6,1
Rb2NaPrF6,1
Rb2NaPrCl6,1
Rb2NaPrBr6,1
Rb2NaNdF6,1
Rb2NaNdCl6,1
Rb2NaNdBr6,1
Rb2NaPmF6,1
Rb2NaPmCl6,1
Rb2NaPmBr6,1
Rb2NaSmF6,1
Rb2NaSmCl6,1
Rb2NaSmBr6,1
Rb2NaEuF6,1
Rb2NaEuCl6,1
Rb2NaEuBr6,1
Rb2NaGdF6,1
Rb2NaGdCl6,1
Rb2NaGdBr6,1
Rb2NaTbF6,1
Rb2NaTbCl6,1
Rb2NaTbBr6,1
Rb2NaDyF6,1
Rb2NaDyCl6,1
Rb2NaDyBr6,1
Rb2NaHoF6,1
Rb2NaHoCl6,1
Rb2NaHoBr6,1
Rb2NaErF6,1
Rb2NaErCl6,1
Rb2NaErBr6,1
Rb2NaTmF6,1
Rb2NaTmCl6,1
Rb2NaTmBr6,1
Rb2NaYbF6,1
Rb2NaYbCl6,1
Rb2NaYbBr6,1
Rb2NaLuF6,1
Rb2NaLuCl6,1
Rb2NaLuBr6,1
Rb2NaUF6,1
Rb2NaUCl6,1
Rb2NaUBr6,1
Rb2KBCl6,1
Rb2KNCl6,1
Rb2KAlCl6,1
Rb2KAlBr6,1
Rb2KPCl6,1
Rb2KPBr6,1
Rb2KScCl6,1
Rb2KTiCl6,1
Rb2KTiBr6,1
Rb2KVCl6,1
Rb2KVBr6,1
Rb2KCrCl6,1
Rb2KCrBr6,1
Rb2KMnCl6,1
Rb2KMnBr6,1
Rb2KFeCl6,1
Rb2KFeBr6,1
Rb2KCoCl6,1
Rb2KCoBr6,1
Rb2KNiCl6,1
Rb2KNiBr6,1
Rb2KCuCl6,1
Rb2KCuBr6,1
Rb2KGaCl6,1
Rb2KGaBr6,1
Rb2KAsF6,1
