B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
0.971,184.0,1.85,63.0,2.0,2.0,1.5,1060.9,2.85,36.0,47.0,9.0,0.3800000000000001,0.0,0.0,0.0,1.2600000000000002,0
0.971,62.0,1.4,26.0,2.0,2.0,4.13,1004.06,5.4,31.0,84.0,9.0,0.25,0.0,6.0,6.0,0.3000000000000007,1
0.971,50.0,1.3,31.0,2.0,3.0,2.17,926.9,2.3000000000000007,36.0,79.0,9.0,0.2299999999999999,1.0,0.0,0.0,1.16,0
0.971,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,903.5,1.6500000000000012,36.0,61.0,9.0,0.1999999999999999,1.0,10.0,10.0,1.2600000000000002,1
0.971,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,941.9,2.5500000000000007,36.0,61.0,9.0,0.1999999999999999,1.0,10.0,10.0,1.2600000000000002,1
0.971,87.0,1.45,42.0,2.0,1.0,6.459999999999999,1029.06,5.449999999999999,33.0,68.0,9.0,0.5800000000000001,1.0,5.0,5.0,0.4600000000000004,1
0.971,7.4,0.65,7.0,2.0,5.0,3.73875,949.46,4.65,34.0,103.0,9.0,1.46,3.0,0.0,0.0,2.9399999999999995,1
0.971,208.0,1.85,60.0,2.0,2.0,3.27,1046.5,1.95,36.0,50.0,9.0,0.4400000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.971,216.0,1.85,59.0,2.0,2.0,3.03,1092.9,2.85,36.0,51.0,9.0,0.4500000000000002,0.0,0.0,0.0,1.2600000000000002,1
0.971,216.0,1.85,59.0,2.0,2.0,3.03,983.1,0.450000000000001,36.0,51.0,9.0,0.4500000000000002,0.0,0.0,60.0,1.2600000000000002,1
0.971,192.0,1.85,62.0,2.0,2.0,3.78,1134.06,5.85,36.0,48.0,9.0,0.4100000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.971,170.0,1.75,65.0,2.0,2.0,4.49,1112.06,5.75,36.0,45.0,9.0,0.3800000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.971,50.0,1.9,81.0,2.0,3.0,8.16,888.5,2.000000000000001,36.0,29.0,9.0,0.4599999999999999,1.0,10.0,10.0,1.16,1
0.971,50.0,1.9,81.0,2.0,3.0,8.16,926.9,2.9000000000000004,36.0,29.0,9.0,0.4599999999999999,1.0,10.0,10.0,1.16,1
0.971,144.0,1.75,69.0,2.0,2.0,5.58,1020.9,2.75,36.0,41.0,9.0,0.33,0.0,0.0,0.0,1.2600000000000002,1
0.971,129.0,1.75,92.0,2.0,2.0,15.26,1005.9,2.75,36.0,18.0,9.0,0.2000000000000001,0.0,1.0,1.0,0.9600000000000004,1
0.971,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,929.1,0.4000000000000021,36.0,71.0,9.0,0.3600000000000001,0.0,1.0,59.0,1.1700000000000004,1
8.57,46.5,1.35,29.0,2.0,1.0,5.220000000000001,923.86,5.0,24.0,81.0,7.0,0.3199999999999998,1.0,10.0,14.0,0.1200000000000001,0
6.77,46.5,1.35,29.0,2.0,1.0,5.220000000000001,938.3,1.5000000000000009,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,10.0,0.1200000000000001,0
6.77,46.5,1.35,29.0,2.0,1.0,5.220000000000001,976.7,2.4000000000000004,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,10.0,0.1200000000000001,0
1.53,57.8,1.25,13.0,2.0,3.0,1.04,982.0,0.4000000000000021,36.0,97.0,7.0,0.03,1.0,0.0,60.0,1.1300000000000003,0
1.53,30.0,1.15,33.0,2.0,5.0,2.04,954.2,0.3000000000000025,34.0,77.0,7.0,0.6000000000000001,3.0,0.0,60.0,0.9399999999999996,0
1.53,48.0,1.6,83.0,2.0,5.0,6.07,1082.0,3.1500000000000004,34.0,27.0,7.0,0.4399999999999999,3.0,10.0,10.0,0.33,1
1.53,205.0,1.85,58.0,2.0,2.0,3.03,1239.0,3.4000000000000004,36.0,52.0,7.0,0.4599999999999999,0.0,1.0,1.0,1.2600000000000002,1
1.53,184.0,1.85,63.0,2.0,2.0,1.5,1218.0,3.4000000000000004,36.0,47.0,7.0,0.3800000000000001,0.0,0.0,0.0,1.2600000000000002,0
1.53,137.0,1.75,71.0,2.0,2.0,6.1,1171.0,3.3000000000000007,36.0,39.0,7.0,0.31,0.0,1.0,1.0,1.2600000000000002,1
1.53,97.0,1.6,21.0,2.0,2.0,0.75,1092.6,2.250000000000001,36.0,89.0,7.0,0.2199999999999999,0.0,1.0,1.0,1.0200000000000005,0
1.53,97.0,1.6,21.0,2.0,2.0,0.75,1021.2,0.7500000000000018,36.0,89.0,7.0,0.2199999999999999,0.0,1.0,59.0,1.0200000000000005,0
1.53,192.0,1.85,62.0,2.0,2.0,3.78,1226.0,3.4000000000000004,36.0,48.0,7.0,0.4100000000000001,0.0,0.0,0.0,1.2600000000000002,1
1.53,50.0,1.9,81.0,2.0,3.0,8.16,1045.6,2.5500000000000016,36.0,29.0,7.0,0.4599999999999999,1.0,10.0,10.0,1.16,0
