B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
1.53,43.0,1.45,51.0,2.0,5.0,2.95,967.2,0.6000000000000014,34.0,59.0,7.0,0.4699999999999997,3.0,10.0,50.0,0.4899999999999993,0
1.53,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,1196.0,3.3500000000000014,36.0,71.0,7.0,0.3600000000000001,0.0,1.0,1.0,1.1700000000000004,1
1.53,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,1086.1999999999998,0.9500000000000028,36.0,71.0,7.0,0.3600000000000001,0.0,1.0,59.0,1.1700000000000004,1
11.9,55.0,1.6,47.0,2.0,1.0,6.76,819.1999999999999,2.6999999999999997,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,20.0,0.08,1
11.9,55.0,1.6,47.0,2.0,1.0,6.76,884.3599999999999,5.699999999999999,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,20.0,0.08,1
11.9,30.0,1.15,33.0,2.0,5.0,2.04,755.8,1.3500000000000003,32.0,77.0,6.0,0.6000000000000001,3.0,0.0,10.0,0.9399999999999996,1
11.9,36.0,1.35,79.0,2.0,1.0,15.56,800.1999999999999,2.4499999999999997,26.0,31.0,6.0,0.96,1.0,10.0,20.0,1.4099999999999993,0
11.9,48.0,1.6,83.0,2.0,5.0,6.07,877.3599999999999,5.699999999999999,32.0,27.0,6.0,0.4399999999999999,3.0,10.0,20.0,0.33,1
11.9,48.0,1.6,83.0,2.0,5.0,6.07,702.4,0.3000000000000007,32.0,27.0,6.0,0.4399999999999999,3.0,10.0,40.0,0.33,0
11.9,46.5,1.35,29.0,2.0,1.0,5.220000000000001,875.8599999999999,5.449999999999999,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,20.0,0.1200000000000001,0
10.5,30.0,1.15,33.0,2.0,5.0,4.056,641.9599999999999,4.15,24.0,5.0,3.0,0.5400000000000003,3.0,0.0,10.0,0.4599999999999999,0
10.5,48.0,1.6,83.0,2.0,5.0,8.086,556.4,0.7000000000000002,24.0,45.0,3.0,0.3800000000000001,3.0,10.0,20.0,0.1499999999999994,0
10.5,48.0,1.6,83.0,2.0,5.0,8.086,594.8,1.5999999999999996,24.0,45.0,3.0,0.3800000000000001,3.0,10.0,20.0,0.1499999999999994,1
10.5,87.0,1.45,42.0,2.0,1.0,8.475999999999999,698.9599999999999,4.45,23.0,4.0,3.0,0.5200000000000002,1.0,5.0,15.0,0.94,1
8.86,33.91,1.5,80.0,2.0,2.0,11.776,645.8699999999999,4.25,19.0,42.0,4.0,0.3600000000000001,0.0,10.0,17.0,0.0700000000000002,0
7.15,46.5,1.35,29.0,2.0,1.0,7.236000000000001,686.4599999999999,4.15,23.0,9.0,4.0,0.26,1.0,10.0,15.0,0.3599999999999994,0
8.96,30.0,1.15,33.0,2.0,5.0,4.056,633.4599999999999,3.9,24.0,5.0,4.0,0.5400000000000003,3.0,0.0,10.0,0.4599999999999999,0
8.96,48.0,1.6,83.0,2.0,5.0,8.086,651.4599999999999,4.35,24.0,45.0,4.0,0.3800000000000001,3.0,10.0,20.0,0.1499999999999994,0
7.87,33.91,1.5,80.0,2.0,2.0,11.776,652.8699999999999,4.300000000000001,20.0,42.0,4.0,0.3600000000000001,0.0,10.0,16.0,0.0700000000000002,0
13.5,48.0,1.6,83.0,2.0,5.0,8.086,638.8699999999999,4.5,23.0,45.0,2.0,0.3800000000000001,3.0,10.0,20.0,0.1499999999999994,0
13.5,48.0,1.6,83.0,2.0,5.0,8.086,463.91,0.8999999999999986,23.0,45.0,2.0,0.3800000000000001,3.0,10.0,40.0,0.1499999999999994,0
13.5,43.0,1.45,51.0,2.0,5.0,4.966,530.31,0.450000000000001,23.0,13.0,2.0,0.4099999999999999,3.0,10.0,20.0,0.0099999999999997,0
13.5,43.0,1.45,51.0,2.0,5.0,4.966,458.91,1.049999999999998,23.0,13.0,2.0,0.4099999999999999,3.0,10.0,40.0,0.0099999999999997,0
7.31,46.5,1.35,29.0,2.0,1.0,7.236000000000001,564.9,0.4000000000000012,26.0,9.0,3.0,0.26,1.0,10.0,20.0,0.3599999999999994,0
7.31,33.91,1.5,80.0,2.0,2.0,11.776,590.7099999999999,1.4500000000000002,25.0,42.0,3.0,0.3600000000000001,0.0,10.0,20.0,0.0700000000000002,0
